क्रस.,जिल्ला,बजेट,कार्यक्रल सङ्ख्या,खर्च,प्रतिशत
१,पर्सा,२००००,९,१७४३८,८७.२
२,सप्तरी,२८५००,२२,२५५००,९.५
३,सर्लाही,१९०००,१,१८१०,९.१
४,रौतहट,२०५००,११,११०००,१३.७
५,जम्मा,५५०००,३,५५२७४४८,६३.४
