,,,,बेरुउ,,,,,आय,,,,,व्यय,,,मौज्दात
२९,,बिल्ता,लेखापरीक्षण रकम,रकम,प्रतिशत,सुरु मौज्दात,सबाट,चाट,पमा,,अन्यबाय,कुसबाप,बातुखर्ष,पुँजीगत र्ष,ित्तीपखर्ष,कुलखर्ष,बाँकी
३९,"औरहि गाउँपालिका, धनुषा",धनुषा,९५२६५८,४७०६१,४.९४,४०८२,२२६७८०,१३०३३,६६५०३,६६१८,१६७५०५,४८०४४०,२१०१५४,१०१९१४,१६०१५०,४७२२१८,४९१०४
,"धनुषाधाम नगरपालिका, धनुषा",धनुषा,१०००१२१,१९२७६,१.९३,१४२९०४,२८७१५१,१८४७१२,१२७४४०,१८३७७,४०५८,४५३३३७,इ३०५७४४,२२०५६३,१७४७६,४४६७८४,४९४४७
४१,"कमला नगरपालिका, धनुषा",धनुषा,१३४२९७३,६९३२७,४.१६,१७३९३०,,४८२८,१०४४८३,९२१४,२३३७९७,६१५०६१,११३६०५,२३२४१९८,३८१६९०,७२७८९२,६११२०
४२,"शहिदनगर नगरपालिका, धनुषा",धनुषा,१्२४६२४,इड२२४,"२,४५१",१०८२१६,इ४४५६२,१इ४३९,११२२११,४६१९,२६७४९२,७६२३६३,३१८९३४५,१९६०४६,र२४१८२७७,७७३२६१,ब७३१९
४३,"मिथिला बिहारी नगरपालिका, धनुषा",धनुषा,१२४६९१६,२६६११,२.१३,१२३८३१,२९६८५२,११६६४,६११४०,२४०१,१०७१८४,२९२४३१,२९९०४६३,१३६१४०,२२१४६३,५७४८,१०७७६
४४,"हेसपुर नगरपालिका, धनुषा",धनुषा,१३८९१०१,१७०४७८,१२.२७,द९इ२९४,इ२९०८०,बाट,९८९६३,१३६१७,२२७८४३,६७८०५९,इ३१७४०९,१६०९४९,रइ३२५०५,७११०४२,६०१०
४५,जनकपुरधाम उप महानगरपालिका,धनुषा,३९३२४५०३,,१४१,५७८९६४,८४४१०७,इ४१२१,२०७९७०,३०१०९२,२५६९५७,१९४४६४७,४८१६८६,इ३९७६३३,११०७५३७,१९८६८१६,५३७७५४
४६,"मटिहानी नगरपालिका, महोत्तरी",महोत्तरी,१००४०२३,१२८९४,१.२८,७१९२७,२४८७७६,१९३७३,८५५७६,६५१०,१३२५०५,४९५७४०,२४३९०२,१३३८०३,१३०५७८०,भ०८२८३,९३८४
४७,"पिपरा गाउँपालिका, महोत्तरी",महोत्ती,१२८५०७४,६इ१२५,४.०,,२९७६९८,१इ४२१,८९९३२,२०२७४,२१३१३१,ब६३४४५६,२०९१०१,१४८६७९,२१६६३८,द४४४१ठ,४८२३
४८,"एकडारा गाउँपालिका, महोत्तरी",महोत्तरी,९४२१६५,२७२६१,२.८९,७२३५१,२४५०११३,७२३५,७चच्छङ,२८०९,१३६४६१,४७८५२२,२०६०२१,९५५४०,१६००८२,४६३६४३,८७२२९
४९,"मनरा शिसवा नगरपालिका, महोत्तरी",महोत्तरी,१६०६८५६,९४५१५९,२.९२,२०१४६०,३७७९९३,१९४७०,१२८७०४५,७१९३,२४५३९९९,७४४१,३४६७६५,र२१२३५४,२६०२६६,८०१९४१५,१६९४८७
५०,"सोनमा गाउँपालिका, महोत्तरी",महोत्तरी,१२०३८१७,११४७९८,"९,४५४",२१०९६८१,२७४०९२,२००४१,१०३२६५,,१६६९१३,२६७६६६,२२०६५१,२१७१७०,१९७७३०,६३४५८०४५१,१४३०६४५
५१,"बलवा नगरपालिका, महोत्तरी",महोत्तरी,५८७७५६,२४५५३०,र.च्ड,४२९,२९९४९३,१५८९६,१०४२८७,२४५६१,८१२१,४६५२३५०,२५६१८०१,१७४६४१,४५७६,४३५३९८०,६५३९०
५२,"जलेश्वर नगरपालिका, महोत्तरी",महोत्तरी,१९१२५९२,२९६३९,३.१२,१०४३७७,४८२२८२,२४२२९६,१२७३८४,३०६४५१,२८२५१५,९४७०६२,४२८१६८,२०१०१३,३३६३५०,९६४५५३१,०४५९०८
५३,"बर्दिबास नगरपालिका, महोत्तरी",महोत्तरी,२९१९१७६,२७८९५,"१,९८०",२९६०२८,६३१०३७,२१८१०,३१३५१२,४४९८१,४२४५६५०,१४३६९९०,७४८८०,३८८०६३९,२१९२४०,१४८२१८९,२४०८२९
५४,"रामगोपालपुर नगरपालिका, महोत्तरी",महोत्तरी,११६६६०८,१५४७७,१.३३,४९८६,२९९४०२,१९४८९,९४७३,१२९२१,१६११७८,२५८७७७२,२२१६४५४,१४७४५४४,र२०६६३८,१७८५३६,१३९२२
५५,"भैँगाहा नगरपालिका, महोत्तरी",महोत्ती,१४४८७५७,२३४२७,१.६२,१२०६९९,३३१४५३५,२०९८२,१२४२५५,९६४,२१६१३७,७०१८५७३,२९३६०२,२४१०६३,२१२०२०,७४६६८४,७६५८
५६,"गौशाला नगरपालिका, महोत्तरी",महोत्तरी,१९९१५१६,४०१६२,२.०२,२७१२५४,४४९४९४,२६४५१,१८४७०९,४३०३४,३२४१४१,१०२७८३०,४२१५७२,१३८५३५,४०३५८०,९६३६८७,३३५३९७
५७,"औरही नगरपालिका, महोत्तरी",महोत्तरी,१३४८७०१,२१९२९६,४.४०,१०८७५१,४३२१५७,२३०३४,८४०३३,८६५३,१३२३९५,६८०६७२,२३११४१,२२२८२१,२१४०६६,६६८०२९,१२१३९४
५८,"महोत्तरी गाउँपालिका, महोत्तरी",महोत्तरी,९९४७५७,१०८०३,१.०९,२२५२३,२४५७९०२,१९६८९,७४१८७,६२०३,१४०६२२,५०१९०४,२०४८१२,०%०९०,१७९०३१,४९२८५३,३१५७५
५९,"लोहरपट्टी नगरपालिका, महोत्ती",महोत्तती,१४२४५८६९,३४५७०६,२४०,४६७४८,३६४१४३,१७८०३,द९५८४,१४२७३,२३६४४१,७३३२६४,२९६१५७,१३४०५५,२६१५९३,६९२६०५,५७४०७
६०,"सम्सी गाउँपालिका, महोत्तरी",महोत्ती,१०४३७३७,१५९११,१.२,२६८०७५,र२४९१३८,१४५४३६,८४३९,२००३,१५०४०७,४०१५२२,१४५७१३७,१८०९६०,२०४११७,१४२२१५,२२७३८२
६१,"विष्णु गाउँपालिका, सर्लाही",सर्लाही,५५९८७१,३१७२६,३१७,८९९६७,२३२९२०,१९२५६,७४४०५,४१६९,११६७५९,४४७६१०,१७३९०६,११९३८६,१४८९६९,४४२२६१,९४३१६
६२,"गोडेटा नगरपालिका, सर्लाही",सर्लाही,१६२३४१७,६०९८९,३.७६,९५०३९,४६१००२,१४२४५,११०४९०,८४८१,२२८४७३,८२२७९२,३०८४५७,२१२०००,२८०१६८,८००६२५,११७२०६
