दिगो विकास लक्ष्य,राष्ट्रिय आधार रेखा सन्‌ २०१५,२०१६-२०३० राष्ट्रिय लक्ष्य
वनको घनत्व (प्रति हेक्टर औसत रुख सङ्ख्या),४३०,६४४५
सासुदाधिक वन व्यवस्थापन अन्तर्गतको वन (प्रतिशत),३९,
संरक्षित क्षेत्र (प्रतिशत),२३.२,२३.३
वन घनत्व ( प्रति हेक्टर औसत रुख सङ्ख्या),४३०,६४५
