,विवरण,आय,विवरण,व्यय
१,गत वर्षको मौज्दात,३०४%,चालु खर्च,२४९४५९
२,यस वर्षको अन्य आय,२५२१८२,पुँजीगत खर्च,७५३२५
३,स्वास्थ्य विज्ञान प्रतिष्ठान अनुदान,२५५०९३,बाँकी मौज्दात,४४७१९
४,स्वास्थ्व क्षेत्र सुघार कार्यक्रमबाट प्राप्त,८७५९,,
५,आन्तरिक आय,१४०४१०,,
६,जम्मा,६६९५०३,जम्मा,६६९५०३
