,,,,,,,,,
गत वर्षको,(जन्मवारी,यो,वर्षको आन्दानी,जम्मा आन्दानी,यो वर्ष खरी,,बर्ष,न्तको भै,ज्वात
,,,२१२०४,२१२०४,१६२०४,,,४०००,
