आर्थिक वर्ष,'कर राजस्व,अन्य राजस्व (विविध समेत),जम्मा,वार्षिक वृद्धिदर
२०७९।८०,११६१५५८९,२०५४५८७,१३६७०१७६,(१०.३०)
२०८०।८१,१२८२२८२३,१५८४५४५५३,१४४०८३७६,२.४०
२०८१।५२,१३९८२७९३,१२९६१५९,१५२७८९५२,६.०४
