क्रस.,राजस्व शीर्षक,रकम
१,११३१५- घरजग्गा रजिष्ट्रेसन दस्तुर,१६५६४०४५
२,११४११- बाँडफाँट भई प्राप्त हुने मूल्य अभिवृद्धि कर,७९४३०२९
३,११४२१- बाँडफाँट भई प्राप्त हुने अन्तःशुल्क,२८४२३२०
४,११४७२- बाँडफाँटबाट प्राप्त हुने विज्ञापन कर,२०४
५,१४१५३- बाँडफाँट भई प्राप्त वन रोयल्टी,३७०१२
६,१४१५७- बाँडफाँट भई प्राप्त दहत्तर बहत्तरको बिक्रीबाट प्राप्त हुने आय,३८३४२
७,१४१५९- अन्य स्रोतबाट प्राप्त बाँडफाँड नहुने रोयल्टी,२८००
८,१४२११- कृषि उत्पादनको बिक्रीबाट प्राप्त रकम,५६११
९,१४२१२- सरकारी सम्पत्तिको बिक्रीबाट प्राप्त रकम,४७
१०,१४२१३- अन्य बिक्रीबाट प्राप्त रकम,०
११,१४२१६- निजी धारा वापतको शुल्क,€३
१२,१४२१७- नहर तथा कुलो उपयोग वापतको शुल्क,१३
१३,१४२१९- अन्य सेवा शुल्क तथा बिक्री,३००९९
१४,१४२२१- न्यायिक दस्तुर,६८७३
१५,१४२२३- शिक्षा क्षेत्रको आम्दानी,१७१
१६,१४२२४- परीक्षा शुल्क,१९२०४५
१७,१४२२४५- यातायात क्षेत्रको आम्दानी,११९८३४
१८,१४२२९- अन्य प्रशासनिक सेवा शुल्क,९००६५
