कस.,विवरण,'रकम
१,'लेखापरीक्षणको क्रममा,२९०९१
२,प्रारम्भिक प्रतिवेदन ५८।एपपच्चात,२९०७४
३,'सम्परीक्षणबाट,द्व४३
४,जम्मा,६७००८
