शीर्षक,हल खर्च,,२,खर्च,,महिना चे
,,प्रथम,बेख्रो,तेस्रो,. चेयो,असार
पुँजीगत खर्च,२१४७५००७,१२२९४,३५५७१५,१२२२८०९,१९८८४१८९,१६९२३०२७
प्रतिशत,१००,०.०६,१.६६,५.६९,९२.५९,७८.८०
