कस.,विवरण,बिगतको बेरुङ,सम्परीक्षण,सम्परीक्षणबाट थप,गत वर्षसम्मको बाँकी,यस वर्षको थप,अद्यावधिक बेरुउ'
१,प्रदेश सरकारी निकायको बेरुजु,८४१३०८४५,९३३८७,१५५,८३१९८५३,१७७८५२१,१००९८३७४
२,समिति तथा अन्य संस्थाको बेरुजु,७९०४७४,३२६९,३५०,७८७५५४५,९४८४०,द२३९५
,जम्मा,९२०३५५९,९६६५६,२५०५,९१०७४०८,१८७३३६१,१०९८०७६९
