विवरण,निनबाजन खर्च,राजस्व,,अन्य कारबार,जम्मा
यसवर्ष,१११७६२५६,१०४४८४०,७६३९१४,७८२७,१२९९२८३७
बक्यौता,११८६८९३,११९,३६०८४५,०,१२२३०९७
जम्मा,१२३६३१४९,१०४४९५९,७९९९९९,७८२७,१४२१५९३४
