"का,",विवरण,बिषतको बेरुजु,सम्परिकण,[न,ना,यो वर्षको थप,जल्न
१,प्रदेश सरकारी निकाषको बेरुजु,८४१३०८५,९३३८७,११५५,८३१९८५३,१७७८५२१,१००९८३७४
२,समिति तथा अन्य संस्थाको बेरुजु,७९०४७४,३२६९,३५०,७८७५५५,९४८४०,व८२३९४५
,जम्मा,९२०३५५९,९६६५६,२०४५,९१०७४०८,१८७३३६१,१०९८०७६९
