,सरकारी कार्षालण,समिति तथा अन्य संस्था,जम्मा,< ता
१. असुल गर्नपर्ने,४७६५७,८३७०,५६०२७,२.९९
२. निषभेत गर्पर्ने,१२८१२२९,८६१२०,१३६७३४९,७२.९९
० अनियमित भएको,२५४०१८,३८४६९,४९२४८७,३१.६२
प्रमाण कागजात पेस नभएको,७२७२११,२६३४७,७५३५५८,४०.२३
सोधभर्ना नलिएको,०,२१३०४,२१३०४,१.१४
३. पेस्की,४४९६३५,३५०,४४९९८५,२४.०२
जम्मा बेरुङ,१७७८५२१,९४८४०,१८७३३६१,१००
