आय,'रकम,व्यय,रकम
गत वर्षको [३०१० समेत,१२५६५१,कार्वसञ्चालन खर्च,५०९३
,,मौज्दात,१२०१५८
जम्मा,१२५६५१,जम्मा,१२५६५१
