क्र.सं.,जिल्ला,स्थानीय तहको नाम,लेखापरीक्षण बक्योता वर्ष
93,रोतहट,गढीमाई नगरपालिका,२०७६।1७७
१७,सप्तरी,छिन्नमस्ता गाउँपालिका,२०७८।७९
१५,|सर्ताही,्रम्हपुरी गाउँपालिका,२०७७। ७८
१६,सर्लाही,बलरा नगरपालिका,२०७७।७८ र २०७४। ७५
१७,सर्लाही,कविलासी नगरपालिका,२०७५।७६
१८,सर्लाही,बसबरिया गाउँपालिका,२०७५।७६
१९,पर्सा,पोखरिया नगरपालिका,२०८१।८२
