,खर्च,,,छा,,महिना
शीर्षक,तल,प्रम,बोस्रो,तेस्रो,. चंबो,जिसार
पुँजीगत खर्च,२१४७५००८,१२२९४,३५५७१६,१२२२८०९,१९८८४१८९,१६९२३०२७
प्रतिशत,१००,०.०६,१.६६,५.६९,९२.५९,७८.८०
