प्रतिवेदन,आर्थिक वर्ष,सापरकाण अङ्ग,बेरुजु अङ्ग,प्रतिशत,पेस्की बाहेकको बेरुजु,पेस्की बाहेकको बेरुजु प्रतिशत
"पहिलो, २०७५",२०७४।७५,६९४३९५,१६४६०९,२३.७०,५७५०९,वर्ड
"दोस्रो, २०७७",२०७५।७६,२५७३१४२६,१८२५३९९,७.०९,१२७२७०६,४.९४
"तेस्रो, २०७८",२०७६।७७,३१९८६२२८,१८०१९१८,१.६४,१४१५८८०,४.४३
"चौथो, २०७९",२०७७।७८,३९२८८५५८,२१३०५७३,१.४२,१७८८४७७,डा
"पाँचौ, २०७९",२०७८।७९,४३१०७३७६,११६३३०९,२.७०,९७००६७,२.२५
"छैटौं, २०८१",२०७९।८०,४७९५२१३२,१८५४२४२,३.८,१४०१५६७४,२.९३
"सातौ, २०८२",२०८०।८१,४५६०६३०१९,११६३८०२,२.५३,९६७७८८,२.१०
"आठौं, २०८३",२०८१।८२,४९६९३९४३,१८७३३६१,३.७४७,१४२३३७६,२.८६
