कस.,विवरण,अनुमान,प्राप्ति रकम,प्राप्ति प्रतिशत
१,राजस्व बाँडफाँट,९३८५३०२,८४०१९२७,८९.४५२
२,सङ्घीय रकार१।८ अनुदान,१६०३८८००,१२३२१९२०,७६.८३
३,प्रदेशको आन्तरिक आय,८३४४६३,६३४४४५८,७६.०३
४,सोझै भुक्तानी,१३३५०,११८३३,
५,,२६२७१९१५,२१३७०१३८,८१.३४
