क्षेत्र,सूचक छे,एकाई,२०८०।८१ को उपसर्ति,दोस्रो योजणाको लक्ष्य,०१ को
,विद्युतीय पहुँच प्राप्त परिवार,प्रतिशत,७१,७५,७१
,विद्युत उत्पादन,मेगावाट,१६,२००,२०
उर्जा,खान पकाउन परम्परागत इन्धन प्रयोग गर्ने परिवारको संख्या,प्रतिशत,८०,६०,
,'खाना पकाउन स्वच्छ इन्धन तथा प्रविधि प्रयोग गर्ने परिवार,प्रतिशत,२३,,२७४
सिँचाइ,सिँचाइ सुविधा पुगेको कृषि भूमि,प्रतिशत,३१,%०,३५
,भरपर्दो सिँचाइ सुविधा योग्य भूमि,प्रतिशत,२७,१,२९
,आधारभूत खानेपानीको सुविधा पुगेको परिवार,प्रतिशत,९०,थ्व,९०.४५
", खानपाना",उच्च मध्यम (सुरक्षित) स्तरको ७।न५।न सुविधा प्गेको पुगेको परिवार,प्रतिशत,,३०,
,सुचारिएको शौचालयको सुविधा उपलब्ध,प्रतिशत,९७.७,९९.९,थ्व
