. कस.,- अस्पताल,प्रयोग भएको संख्या,काम =,जडान | == |,काम लाग्ने तर ५,जम्मा
१,"स्वास्थ्य सेवा , सल्यान",३६४,,४६,१५,४३१
२,"स्वास्थ्य सेवा कार्यालय, दैलेख",११८,११,०,११,१४०
३,"भमेहलकुना अस्पताल, सुर्खेत",१४४,१०,,१६,१७०
४,"ल्वास्थ्वसेवा कार्यालब, मुगु",९७,१५,१,व्‌,१२१
५,"स्वास्थ्य सेवा कार्वालब,कालिकोट",१९४,७,०,९,२१०
६,"स्वास्थ्य सेवा कार्यालय, रुकुम पश्चिम",१३४,१७,३,७,१६१
७,"दुल्लु अस्पताल, दैलेख",१४८,११,०,२,१६१
८,"प्रदेश अस्पताल, सुर्खेत",८०९,३१,०,,
९,जम्मा,२००९,१०७,,,२२३४
