. क्रस.,मन्त्रालय/ निकायको नाम,,विनेयोजन,,राजस्व,,,जम्मा
,,एकाइ,रकम,एकाइ,रकम,एकाइ,रकम,
१,कर्णाली प्रदेश सभा सचिवालय,१,११२४२२,१,२०३,१,६५४,११३२७९
,जम्मा,१,११२४२२,१,२०३,१,६५४,११३२७९
