मध्यमकालीन खर्च संरचना अनुसार प्रक्षेपण,,बजेट विनियोजन,,,प्रक्षेपणको तुलनामा
कुल,चालु,कुल,चालु,पुँजीगत,न्यून बजेट
१५०३१७५,१४५८१७१५,४१६१४०,२९२४५७,१२३६८३,१०८७०३४५
