_link,id,tag,date,ocid,initiationType,buyer_id,buyer_name,tender_id,tender_title,tender_procurementMethodDetails,tender_status,tender_mainProcurementCategory,tender_awardCriteriaDetails,tender_description,tender_hasEnquiries,tender_eligibilityCriteria,tender_awardCriteria,tender_procurementMethod,tender_procurementMethodRationale,tender_numberOfTenderers,tender_value_amount,tender_value_currency,tender_minValue_amount,tender_minValue_currency,tender_tenderPeriod_endDate,tender_tenderPeriod_startDate,tender_enquiryPeriod_endDate,tender_enquiryPeriod_startDate,planning_rationale,planning_budget_id,planning_budget_description,planning_budget_project,planning_budget_projectID,planning_budget_amount_amount,planning_budget_amount_currency,tender_awardPeriod_startDate,tender_awardPeriod_endDate
1463,ocds-rw2stw-CLPIUENRA-7051/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Nuwakot - 02-2018-03-06T10:00:00+05:45,compiled,2018-03-06T10:00:00+05:45,ocds-rw2stw-CLPIUENRA-7051/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Nuwakot - 02,tender,e8a1aed2b872c4ff93ddc4f7a0c0e69c,"Central Level Project Implementation Unit(Education), National Reconstruction Authority",CLPIUENRA-7051/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Nuwakot - 02,"Fabrication, Supply and Installation of School Furniture in Nuwakot District  (ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Nuwakot - 02)  ",NCB,active,goods,,,false,,,open,,4,0,NPR,0,NPR,2018-04-05T12:00:00+05:45,2018-03-06T10:00:00+05:45,2018-03-26T12:00:00+05:45,2018-03-06T10:00:00+05:45,null,3018014,Loan,"Fabrication, Supply and Installation of School Furniture in Nuwakot District  (ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Nuwakot - 02)  ",7051,n/a,NPR,,
1464,ocds-rw2stw-CLPIUENRA-7044/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 01-2018-03-06T10:00:00+05:45,compiled,2018-03-06T10:00:00+05:45,ocds-rw2stw-CLPIUENRA-7044/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 01,tender,e8a1aed2b872c4ff93ddc4f7a0c0e69c,"Central Level Project Implementation Unit(Education), National Reconstruction Authority",CLPIUENRA-7044/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 01,"Fabrication, Supply and Installation of School Furniture in Dhading District (ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 01)",NCB,active,goods,,,false,,,open,,5,0,NPR,0,NPR,2018-04-05T12:00:00+05:45,2018-03-06T10:00:00+05:45,2018-03-26T12:00:00+05:45,2018-03-06T10:00:00+05:45,null,3018014,Loan,"Fabrication, Supply and Installation of School Furniture in Dhading District (ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 01)",7044,n/a,NPR,2018-05-24T12:51:07+05:45,
1465,ocds-rw2stw-CLPIUENRA-7045/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 02-2018-03-06T10:00:00+05:45,compiled,2018-03-06T10:00:00+05:45,ocds-rw2stw-CLPIUENRA-7045/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 02,tender,e8a1aed2b872c4ff93ddc4f7a0c0e69c,"Central Level Project Implementation Unit(Education), National Reconstruction Authority",CLPIUENRA-7045/ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 02,"Fabrication, Supply and Installation of School Furniture in Dhading District  (ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 02)  ",NCB,active,goods,,,false,,,open,,4,0,NPR,0,NPR,2018-04-05T12:00:00+05:45,2018-03-06T10:00:00+05:45,2018-03-26T12:00:00+05:45,2018-03-06T10:00:00+05:45,null,3018014,Loan,"Fabrication, Supply and Installation of School Furniture in Dhading District  (ESRP/MOE/CLPIU/NCB/2074/075/Furniture/Dhading - 02)  ",7045,n/a,NPR,2018-05-24T12:53:43+05:45,
1466,ocds-rw2stw-CLPIUENRA-4899/ESRP/MOE/CLPIU/074/75-Makawanpur - 07-2018-01-05T10:00:00+05:45,compiled,2018-01-05T10:00:00+05:45,ocds-rw2stw-CLPIUENRA-4899/ESRP/MOE/CLPIU/074/75-Makawanpur - 07,tender,e8a1aed2b872c4ff93ddc4f7a0c0e69c,"Central Level Project Implementation Unit(Education), National Reconstruction Authority",CLPIUENRA-4899/ESRP/MOE/CLPIU/074/75-Makawanpur - 07,Construction of 10 School Building Complex in Makawanpur District,NCB,active,works,,,false,,,open,,2,0,NPR,0,NPR,2018-02-15T12:00:00+05:45,2018-01-05T10:00:00+05:45,2018-02-05T12:00:00+05:45,2018-01-05T10:00:00+05:45,null,3018014,Loan,Construction of 10 School Building Complex in Makawanpur District,4899,n/a,NPR,2018-04-02T14:01:44+05:45,
1467,ocds-rw2stw-CM-10522/CGM/GOODS/NCB/02/2074/075-2018-05-11T06:00:00+05:45,compiled,2018-05-11T06:00:00+05:45,ocds-rw2stw-CM-10522/CGM/GOODS/NCB/02/2074/075,tender,0b4771a01c1ed2d434285251b39abbaf,Chhedagada Municipality,CM-10522/CGM/GOODS/NCB/02/2074/075,Supply of AWD Backhoe Loader,NCB,active,goods,,,false,,,open,,3,0,NPR,0,NPR,2018-06-17T12:00:00+05:45,2018-05-11T06:00:00+05:45,2018-06-07T12:00:00+05:45,2018-05-11T06:00:00+05:45,null,29441,Government Budget,Supply of AWD Backhoe Loader,10522,n/a,NPR,,
1468,ocds-rw2stw-CM-6477/Chainpur Municipality/Shankhuwasava/02/074/75/NCB-2018-02-12T00:00:00+05:45,compiled,2018-02-12T00:00:00+05:45,ocds-rw2stw-CM-6477/Chainpur Municipality/Shankhuwasava/02/074/75/NCB,tender,582a99368024cdfc30d76cec8495dc7d,Chainpur Municipality,CM-6477/Chainpur Municipality/Shankhuwasava/02/074/75/NCB,Construction Of Municipality Office Building,NCB,active,works,,,false,,,open,,3,0,NPR,0,NPR,2018-03-14T12:00:00+05:45,2018-02-12T00:00:00+05:45,2018-03-04T12:00:00+05:45,2018-02-12T00:00:00+05:45,null,26611,Government Budget,Construction Of Municipality Office Building,6477,n/a,NPR,,
1469,ocds-rw2stw-CRM-12237/NCB/CHULACHULI/074-75/02-2018-07-10T00:00:00+05:45,compiled,2018-07-10T00:00:00+05:45,ocds-rw2stw-CRM-12237/NCB/CHULACHULI/074-75/02,tender,cc7b0ec7e9377065b832c7853d701c7a,Chulachuli Rural Municipality,CRM-12237/NCB/CHULACHULI/074-75/02,Construction of Office Building ( groound floor) of Chulachuli Rural Municipality,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-08-10T12:00:00+05:45,2018-07-10T00:00:00+05:45,2018-07-31T12:00:00+05:45,2018-07-10T00:00:00+05:45,null,074-75 Fiscal Budget,Government Budget,Construction of Office Building ( groound floor) of Chulachuli Rural Municipality,12237,n/a,NPR,,
1470,ocds-rw2stw-CNP-5041/CNP/CHITWAN/WORKS/NCB/ 011-074/75-2018-01-09T00:00:00+05:45,compiled,2018-01-09T00:00:00+05:45,ocds-rw2stw-CNP-5041/CNP/CHITWAN/WORKS/NCB/ 011-074/75,tender,951bcfc0d37595229fb855da83d0525b,Chitwan National Park,CNP-5041/CNP/CHITWAN/WORKS/NCB/ 011-074/75,Building (Tourist Information Centre) Construction work,Sealed Quotation,active,works,,,false,,,open,,1,0,NPR,0,NPR,2018-01-24T12:00:00+05:45,2018-01-09T00:00:00+05:45,2018-01-09T12:00:00+05:45,2018-01-09T00:00:00+05:45,null,35-329-02,,Building (Tourist Information Centre) Construction work,5041,n/a,NPR,,
1471,ocds-rw2stw-CMJ-8958/CNM/ROAD/NCB/13/074/75-2018-04-06T00:00:00+05:45,compiled,2018-04-06T00:00:00+05:45,ocds-rw2stw-CMJ-8958/CNM/ROAD/NCB/13/074/75,tender,66f7aae0ec6089f13ff8d5a2b4ffbbd9,"Chandannath Municipality , Jumla",CMJ-8958/CNM/ROAD/NCB/13/074/75,Construction of Bazar-KTS Road upgrading ,NCB,active,works,,,false,,,open,,6,0,NPR,0,NPR,2018-05-07T12:00:00+05:45,2018-04-06T00:00:00+05:45,2018-04-27T12:00:00+05:45,2018-04-06T00:00:00+05:45,null,8013123,Government Budget,Construction of Bazar-KTS Road upgrading ,8958,n/a,NPR,,
1472,ocds-rw2stw-CSH-9664/45/2074/075-2018-04-20T00:00:00+05:45,compiled,2018-04-20T00:00:00+05:45,ocds-rw2stw-CSH-9664/45/2074/075,tender,894965f27c20fe0d58409e389954dd60,Civil Service Hospital,CSH-9664/45/2074/075,Non Invasive Ventillator,Sealed Quotation,active,goods,,,false,,,open,,1,0,NPR,0,NPR,2018-05-06T12:00:00+05:45,2018-04-20T00:00:00+05:45,2018-04-21T12:00:00+05:45,2018-04-20T00:00:00+05:45,null,29511,,Non Invasive Ventillator,9664,n/a,NPR,,
