contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
UDBOKASKI/NCB/W/11/2078/079,"Urban Development and Building Office, Kaski, Gandaki Province","Construction of Various Infrastructures &amp; Landscaping Works at Mahendra Cave, Pokhara-16",85893818.38,Works,NCB,In-Progress
UDBOP-NCB-082/83-09,"Urban Development and Building Office, Palpa","Urban Infrastructure Development Work at Bitdohad-Giduwa-Kildip-Inar Kaligandaki-1 and Satyawati-3, Gulmi",2706256.45,Works,NCB,In-Progress
UDBOP-NCB-082/83-18,"Urban Development and Building Office, Palpa","Settle Development Work at Ratchaur-ramche-Devisthan Mavi-Sindukha (Ishma-2) , Maidana-Dadathok-DallePipal(Satyawati-6) and Urlemi-Chapakor-Deurali-Tolakot (Kaligandaki-6),Gulmi",3430188.87,Works,NCB,Completed
UDBOP-NCB-082/83-21,"Urban Development and Building Office, Palpa",Urban Infrastructure Development Work at Arbeni-Gahate Khola-Gyanodaya school (Kaligandaki-2) and Road Upgrading Work at Baralwa-Ramfe-Sapadade-Thalung- Daregauda-Thulogaira (Kaligandaki-6),2373801.7,Works,NCB,Completed
UDBOP-NCB-082/83-25,"Urban Development and Building Office, Palpa","Settle Development Work at Chanaute-Paruwa-Shiwalaya(Musikot-07), Dhabalungrung- Bharjuwa-Deurali-Dalunga-Nisti(Musikot-2), Gandaki-Dobata-Ranatole (Gulmidarwar-05), Gulmi",1693257.81,Works,NCB,In-Progress
