contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
GMO/W/NCB/R/3/082-083,"Gauradaha Municipality, Office of the Municipal Executive,Gauradaha,Jhapa,Koshi Province, Nepal","CONSTRUCTION OF BLACKTOP ROAD ALONG DHIMDHIME LAXMI SUBEDI-EAST AND JAY BAHADUR ADHIKARI'S HOUSE-GANGARAM BHANDARI'S HOUSE ,GAURADAHA-03,JHAPA,NEPAL",24293584.73,Works,NCB,In-Progress
GMO/W/NCB/R/4/082-083,"Gauradaha Municipality, Office of the Municipal Executive,Gauradaha,Jhapa,Koshi Province, Nepal","CONSTRUCTION OF BLACKTOP ROAD ALONG BAIRATI ROAD W-8,JHOLUNGE PUL ROAD W-7, NO.19 NAHAR ROAD W-9 ,GAURADAHA-7,8, 9,JHAPA,NEPAL",28131056.7,Works,NCB,In-Progress
GMO/W/NCB/B/2/082-083,"Gauradaha Municipality, Office of the Municipal Executive,Gauradaha,Jhapa,Koshi Province, Nepal","“ CONSTRUCTION OF NAMUNA EKIKRIT AWASH BASTI BIKASH FOR LOPONMUKH,BIPANNA, SIMANTAKRIT TATHA DALIT SAMUDAYA ,GAURADAHA WARD NO 1 TO 9 ,JHAPA NEPAL.”",25872920.0,Works,NCB,In-Progress
BM/W/NCB/082/083/03,Besisahar Municipality,BIPI SMRITI BHAWAN Construction/Finishing Works,4711202.6,Works,NCB,In-Progress
BM/W/NCB/082/083/04,Besisahar Municipality,Construction/Upgrading of Roads Under Package (Ranikuwa Gausahar Nalma to Laxmibazar Road),5289484.9,Works,NCB,Completed
imoilam/ncb/work/7-2082/83,"Ilam Municipality, Office of the Municipal Executive, Ilam, Koshi Province, Nepal","Upgradation and Improvement of Satkhalde Sahid Marga Ward no 04, Ilam",2097865.35,Works,NCB,Completed
imoilam/ncb/work/08-2082/83,"Ilam Municipality, Office of the Municipal Executive, Ilam, Koshi Province, Nepal","Upgrading of Bhandari Golai-Dokantol to Ward Office Road Ilam Municipality, Ward No 12",1903166.71,Works,NCB,Completed
FRM/Sindhuli/Works/SQ/01/082-83,"Fikkal Rural Municipality,",Maintenance Works of ward no.4 office Building,911507.07,Works,Sealed Quotation,In-Progress
IDOKAVRE/W/NCB/38/081/82,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on Panauti Khopasi Road Section, Panauti Municipality",66623653.96,Works,NCB,Completed
Mahalaxmi/W/NCB/02/2082/83,"Mahalaxmi Municipality, Office of Municipal Executive",Blacktop works of Rajkulo Sadak Ward no. 4,13296931.8,Works,NCB,In-Progress
Mahalaxmi/W/NCB/07/2082/83,"Mahalaxmi Municipality, Office of Municipal Executive","Road Uprading works from lubhu-balakunj to Nyaticha sadak, ward no.8",7001029.89,Works,NCB,In-Progress
02/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan",Ward no 4 ra 5 ko Simana sadak Bi. Pi. Chowk Dekhi Uttar Padampur Samudayik Ban sadak Kalopatre Woda No 4 Ra 5,19699277.39,Works,NCB,Completed
IDOKAVRE/W/NCB/48/081/82,Infrastructure Development Office Kavrepalanchok,"Upgrading Works on B.P Rajmarg, Charuwa Bhedabari Road, Namobuddha Municipality - 3, Kavre",41883646.93,Works,NCB,In-Progress
03/Works/NCB/KM/082/083,"kalika Municipality Office , Chitwan","Construction of Samipur School Building, Kalika 1",4900736.18,Works,NCB,Completed
