source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page118_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page118_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page118_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page119_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page119_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page119_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page120_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page120_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page120_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page121_table1.csv,17,0,0,7,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page121_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page121_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page122_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page122_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page122_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page123_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page123_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page123_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page124_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page124_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page124_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page125_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page125_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page125_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page126_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page126_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page126_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page127_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page127_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page127_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page128_table1.csv,16,0,0,6,10,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page128_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page128_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page129_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page129_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page129_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page130_table1.csv,12,0,0,4,8,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page130_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page130_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page131_table1.csv,15,0,0,6,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page131_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page131_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page132_table1.csv,14,0,0,5,9,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page132_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page132_table1_unknown.csv
