0,1,2,3,4,5,6,7,8,9,10,11
Shailyashikar Municipality,0,19,79,,,98,,160,,160,258
Dashrathchand Municipality,0,20,71,,,91,,144,,144,235
Patan Municipality,0,20,85,,,105,,171,,171,276
Purchaudi Municipality,0,20,114,,,134,,231,,231,365
Melauli Municipality,0,19,63,,,82,,126,,126,208
Amargadhi Municipality,0,20,56,,,76,,294,,294,370
