0,1,2,3,4,5,6,7,8,9,10,11
Janakpur Sub Metropolitan City,0,85,240,,,325,,2827,,2827,3152
Kalaiya Sub Metropolitan City,0,20,204,,,224,,412,,412,636
Jitpur-Simara Sub Metropolitan City,0,20,145,,,165,,293,,293,458
Kanchanrup Municipality,0,21,76,,,97,,153,,153,250
Khadak Municipality,0,19,87,,,106,,177,,177,283
Dakneswori Municipality,0,18,72,,,90,,145,,145,235
