आर्थिक वर्ष,बजेट प्रक्षेपण,८. २८ बजेट,बजेट खर्च,अकेषणको तुलनामा नियोजन प्रतिशत,निनिबाणनको तुलनामा खर्च प्रतिशत
२०७९।८०,३६७४६४६५,३६७४६४६५,र२४०६३०९५,१००,६५.४८
२०८०।८१,४०४२१११२,२९२६५९३२,१८४५१३५७७,७२.४०,६३.२६
२०८१।८२,४४४६३२२३,३१६२९८२८०,२२२०२४५५४५,७१.१३,७०.१९
