source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/extracted_tables/page_155_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_155_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_155_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_156_table_1.csv,15,5,0,0,10,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_156_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_156_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_157_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_157_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_157_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_158_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_158_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_158_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_159_table_1.csv,15,5,0,0,10,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_159_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_159_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_160_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_160_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_160_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_161_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_161_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_161_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_162_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_162_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_162_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_163_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_163_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_163_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_164_table_1.csv,13,4,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_164_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_164_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_165_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_165_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_165_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_166_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_166_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_166_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_167_table_1.csv,12,4,0,0,8,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_167_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_167_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_168_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_168_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_168_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_169_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_169_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_169_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_170_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_170_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_170_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_171_table_1.csv,11,3,0,0,8,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_171_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_171_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_172_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_172_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_172_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_173_table_1.csv,11,3,0,0,8,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_173_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_173_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_174_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_174_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_174_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_175_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_175_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_175_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_176_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_176_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_176_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_177_table_1.csv,5,1,0,0,4,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_177_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_177_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_178_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_178_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_178_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_179_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_179_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_179_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_17_table_1.csv,14,4,0,0,10,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_17_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_17_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_180_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_180_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_180_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_181_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_181_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_181_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_182_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_182_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_182_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_183_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_183_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_183_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_184_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_184_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_184_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_185_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_185_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_185_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_186_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_186_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_186_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_187_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_187_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_187_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_188_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_188_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_188_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_189_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_189_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_189_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_18_table_1.csv,13,3,0,0,10,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_18_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_18_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_190_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_190_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_190_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_191_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_191_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_191_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_192_table_1.csv,6,1,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_192_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_192_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_193_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_193_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_193_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_194_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_194_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_194_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_195_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_195_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_195_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_196_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_196_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_196_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_197_table_1.csv,16,5,0,0,11,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_197_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_197_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_198_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_198_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_198_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_199_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_199_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_199_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_19_table_1.csv,11,3,0,0,8,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_19_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_19_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_200_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_200_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_200_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_201_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_201_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_201_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_202_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Arranged data/Final Data/Federal/page_202_table_1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/page_202_table_1_unknown.csv
