क्रस.,लेखापरीक्षण न २५क। निकाय,सङ्ख्या,रकम
१.,प्रदेश भन्त्रालष तथा निकाय,१९१,७६८५१८१७
२.,समिति तथा अन्य संस्था,१८,६३०४५६१
,जम्मा,२०९,८३१५६३७८
