,कार्कालवको नाम,नबिनकोणन,राजस्व,धरेटी,अन्यकारोबार,जम्मा
१,भौतिक पूर्वाधार विकास भन्त्रालय,४७५५५,९३,१४१०,१५५००,६४५५ ८
२,"पूर्वाधार विकास कार्यालय, चितवन",७६२६६२,२६९४,२४७२८७,०,१०१२६४३
३,"सहरी विकास तथा भवन कार्यालय, कर",९३८३१६,१२१६९,१०३७२६,१०३९,१०१५५२५०
४,जम्मा,१७४८५३३,१४९५६,३५२४२३,१६५३९,२१३२४५१
