= शीर्षक,र्रु बजेट,सा,न,अन्तिम बजेट,खर्च,खर्च प्रतेशत
चालु,११९०६९१,१३२६५,४९९१४,१११४००२,वइ१५९,७२.६३
पुँजीगत,२०२२५९६,४०१८६३,१८९२६९,२२३५१९०,१८२६१९३,ब८१.७
जम्मा,२२१३२८७,४१५१२८,२३९२२३,३३८९१९२,२६६४३५२,७८.६१
