क. सं.,,स्थानीय हत सङ्ख्या,लेखापरीकण 'रकम,अल्कोसमेत बेरुजु,जर्जुभन्ये पेस्की रकम,ठन्छादिङा प्रतिशत,पेस्की बाहेक बेरुजु प्रतिशत
१,महानमरबालिका,र,३८९६४९९९,६६६६२५,५९३४८,१.७१,१.५६
२,उप-नहानमरपालिका,१,५५७०४०३,६४९८९,५१११,१.१७,१.०४५
३,नगस्यालिका,४०,१०६३२७३५०,१३१४४०८,१९००१०,१.२३,१.०४५
४,नाउँपालिका,७४,९४४६६९१८,११३९७०२,६४४८७,१.२०,१.१४
५,जम्मा,११७,२४५३२९६७०,३१८५७२४,३१८९५६,१.२९,१.१६
