छै कस,,,सन्परीकानाट थप,फस्योट तथा सन्परीक्षण,विगतको खुद बाँकी,चालु वर्षको थप बेरुजु,अचानक बाँकी बेरुजु
१.,प्रदेश सरकारी निकाषहरू,४४५३९०८,१८२,२७८१०८,४१७५९८२,६७८७३१,४८५४७१३
२.,समिति तथा अन्य संस्थाहरू,४१५०५८,०,४१४०,४१०९१८,१५०६३,४२५९८१
,जम्मा,४८०६८९६६,१८२,२८२२४८,४४५८६९००,६९३७९४,
