क्रस.,लखापरीक्षण गरिएका निकाय र विषय,सङ्ख्या,लखापरीक्षण अङ्ग,बेरुजु अङ्ग,बेरुजु प्रतिशत
१.,प्रदेश भन्त्रालष तथा निकाय,१९१,७६८५१८१७,६७८७३१,७्व्
२.,समिति र अन्य संस्था,१८,६३०४५६१,१५०६३,०.२३
,जम्मा,२०९,८३१५६३७८०,६९३७९४,०.८३
