source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page17_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page17_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page17_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page17_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page17_table4.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page17_table4_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page18_table1.csv,21,0,0,0,21,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page18_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page19_table1.csv,19,0,0,0,19,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page19_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page19_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page19_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page20_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page20_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page20_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page20_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page21_table1.csv,14,0,0,0,14,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page21_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page21_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page21_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page21_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page21_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page21_table4.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page21_table4_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page21_table5.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page21_table5_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page22_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page22_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page22_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page22_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page22_table4.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page22_table4_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page23_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page23_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page23_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page23_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page24_table1.csv,16,1,0,1,14,/home/suchita/Desktop/Arranged data/Final Data/Federal/source-book_kzajtb9_page24_table1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page24_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page24_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page24_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page24_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page25_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page25_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page25_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page25_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page26_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page26_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page27_table1.csv,16,0,0,0,16,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page27_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page27_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page27_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page28_table1.csv,20,0,0,0,20,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page28_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page32_table1.csv,9,0,1,3,5,/home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page32_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Provincial/Sudurpashchim/source-book_kzajtb9_page32_table1_sudurpashchim.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page32_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page3_table1.csv,24,18,1,1,4,/home/suchita/Desktop/Arranged data/Final Data/Federal/source-book_kzajtb9_page3_table1_federal.csv | /home/suchita/Desktop/Arranged data/Final Data/Local/source-book_kzajtb9_page3_table1_local.csv | /home/suchita/Desktop/Arranged data/Final Data/Provincial/Madhesh/source-book_kzajtb9_page3_table1_madhesh.csv | /home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page3_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page7_table1.csv,4,0,0,0,4,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page7_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page8_table1.csv,3,0,0,0,3,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page8_table1_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page9_table2.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page9_table2_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page9_table3.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page9_table3_unknown.csv
/home/suchita/Desktop/Arranged data/tables/source-book_kzajtb9_page9_table4.csv,1,0,0,0,1,/home/suchita/Desktop/Arranged data/Final Data/Unknown/source-book_kzajtb9_page9_table4_unknown.csv
