contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
UDB-RUP/34701013/078-79/09,"Urban Development and Building Office, Rupandehi","Construction of Seminar Hall at Foresty Research Centre , Yogikuti, Butwal, Rupandehi.",8342009.48,Works,NCB,Completed
UDB-RUP/34701012/078-79/04,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure(Drain Cover) at Prabhatpath to Bhanupath Road,Si.na.pa.-09, Rupandehi",2589582.24,Works,NCB,In-Progress
UDB-RUP/34701012/NCB/078-79/13,"Urban Development and Building Office, Rupandehi","Construction of Road and Drain at Semarhana Mayadevi-5, Marchawari-6,Rupandehi",5127135.72,Works,NCB,Completed
UDBO/ILAM/W/NCB/12/075-76,"Urban Development and Building Office, Ilam","Construction of Durga Community Building, Gwaldubba, Jhapa",11409368.85,Works,NCB,Completed
UDB-RUP/34701012/NCB/078-79/17,"Urban Development and Building Office, Rupandehi","Roadway Upgrading Works at South of Karmahawa Talariya Pokhari, Mayadevi-7, Kapilvastu.",1410889.75,Works,NCB,In-Progress
UDB-RUP/34701012/NCB/078-79/27,"Urban Development and Building Office, Rupandehi","Upgrading works of Road at Wasa Basanta Ma.vi Tole & Valuhi- Ahiroli,Sarawal 1 & 2 (Ekikrit Basti Bikas), West Nawalparasi.",5614954.67,Works,NCB,Completed
UDBO/ILAM/W/NCB/11/076-077,"Urban Development and Building Office, Ilam",Simingchong Sarbadharma Community Building Construction,18447175.63,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/18/075-76,"Urban Development and Building Office, Ilam","Construction Of Community Building in Deurali Bazaar, Ilam",22280922.06,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/05/076-077,"Urban Development and Building Office, Ilam","Construction of Road from Durga Chowk to Simsar Kankai-1, Jhapa",36858939.3,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/04/076-077,"Urban Development and Building Office, Ilam","Construction of Connecting Road and Drainage from Surunga Bridge to Tappu Kankai-2, Jhapa",34121879.07,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/02/076-077,"Urban Development and Building Office, Ilam","Construction of Office Building Water Resource and Irrigation Development Division ,Phidim",16369713.17,Works,NCB,Completed
UDBO/ILAM/W/NCB/01/076-077,"Urban Development and Building Office, Ilam",Construction of Madan Bhandari Smrithi Pratisthan Bhawan at Fungling,22299029.1,Works,NCB,In-Progress
UDB-RUP/34701013/078-79/60.,"Urban Development and Building Office, Rupandehi","Construction Of Infrastucture at Bipasna Centre,Sarawal-02,Nawalparasi",8930581.0,Works,NCB,Completed
GTMSRRP/337011094/076/77-002,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Jhangar Khola Bridge (RCC 1x15), Nuwakot",34774037.91,Works,NCB,In-Progress
GTMSRRP/337011094/076/77-003,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Dhobi Khola Bridge (RCC1X15m), Nuwakot",28370944.05,Works,NCB,In-Progress
GTMSRRP/337011094/076/77-004,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Bire Khola Bridge (RCC1X20m), Nuwakot",33542100.19,Works,NCB,In-Progress
GTMSRRP/337011094/076/77-005,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Gundre Khola Bridge (RCC1X15m), Nuwakot",35079246.56,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/09/076-077,"Urban Development and Building Office, Ilam","COnstruction of Road from Gauradaha Everest School to Red Cross Office, Gauradaha-1, Jhapa",16149988.95,Works,NCB,Completed
GTMSRRP/337011094/076/77-006,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Sukaure Khola Bridge (RCC1X20m), Nuwakot",32230792.78,Works,NCB,In-Progress
UDBO/ILAM/W/NCB/03/076-077,"Urban Development and Building Office, Ilam","Construction of Community Building at Shri Durga Panchayan Temple Area Arjundhara-2, Jhapa",10858713.62,Works,NCB,Completed
GTMSRRP/337011094/076/77-007,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Slope Stabilization and Protection for Road Slope Disaster Management of Galchhi Landslide, Dhading (Ch. 2+100) and Jiling Landslide, Nuwakot (Ch. 16+200)",180549903.04,Works,NCB,In-Progress
