0,1,2,3,4,5,6,7,8,9,10
"Development Partnerwise Summary
Fiscal Year 2025/26
(Rs. in '00000')",,,,,,,,,,
Donor,Foreign Grant,,,,,Foreign Loan,,,,Total Budget
,Cash,Reimbursable,Direct Payment,Commodity,Total Grant,Direct Payment,Reimbursable,Cash,Total Loan,
"2101001 ADB - General 21633 11054 32687 484164 248060 9137 741361 774048
2101002 JFPR 94 682 550 1326 1 1 1327
2101004 ADB/PBL 0 57505 57505 57505
2101009 ADB/PBL-PFM 0 135000 135000 135000
2101012 ADB/PBL-SICI 0 202500 202500 202500
2103001 IDA - General 2100 2100 4870 331759 336629 338729
2103003 WB - Trust Fund 64 32305 2980 35349 7490 22100 29590 64939
2103004 IDA - Pool Fund 48 48 0 48
2103007 IDA Higher Education P for R 0 22328 22328 22328
2103011 WB/CAT-DDO 4 4 0 4
2103014 IDA Health P for R 0 29101 29101 29101
2103015 IDA/DPC - SICI 0 202312 202312 202312
2103016 WB/CAT-DDO - Balance 0 70932 70932 70932
2103018 WB/BIMP - Balance 0 192 29468 29660 29660
2104003 IMF Extended Credit Facility 0 112000 112000 112000
2107001 OFID 0 1472 2853 4325 4325
2108001 SAARC Fund 1275 100 1375 0 1375
2109002 UNDP 47 47 0 47
2109004 UNCDF 1246 1246 0 1246
2109006 UNEP 213 213 0 213
2109008 UNFPA 95 95 0 95
2109011 UNICEF 204 1327 1531 0 1531
2109018 UN -GEF 6829 2051 8880 0 8880
2109024 WHO 99 1720 1819 0 1819
2109025 WFP 5 5 0 5
2109027 GCF 749 6550 7299 0 7299
2109028 GCF/FAO 14088 800 14888 0 14888
2109029 GCF / IUCN 7482 7482 0 7482
2110001 IFAD 0 10221 20400 30621 30621
2111031 Asian Infrastructure Investment Bank 0 46159 2000 48159 48159
2111501 Global Partnership For Education 2920 2920 0 2920
2116001 School Education Sector Plan (SESP)- Pool Fund 49924 49924 100727 100727 150651
2207001 China - General 35043 35043 0 35043
2207002 China - Exim Bank 0 5000 5000 5000",,,,,,,,,,
