source_file,total_records,federal_count,provincial_count,local_count,unknown_count,output_files
/home/suchita/Desktop/Arranged data/extracted_tables/page_122_table_1.csv,9,2,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_122_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_122_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_123_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_123_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_123_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_124_table_1.csv,8,2,0,0,6,/home/suchita/Desktop/Final Arranged Data/Federal/page_124_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_124_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_125_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_125_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_125_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_126_table_1.csv,10,3,0,0,7,/home/suchita/Desktop/Final Arranged Data/Federal/page_126_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_126_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_127_table_1.csv,15,5,0,0,10,/home/suchita/Desktop/Final Arranged Data/Federal/page_127_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_127_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_128_table_1.csv,12,3,0,0,9,/home/suchita/Desktop/Final Arranged Data/Federal/page_128_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_128_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_129_table_1.csv,5,1,0,0,4,/home/suchita/Desktop/Final Arranged Data/Federal/page_129_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_129_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_130_table_1.csv,7,2,0,0,5,/home/suchita/Desktop/Final Arranged Data/Federal/page_130_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_130_table_1_unknown.csv
/home/suchita/Desktop/Arranged data/extracted_tables/page_131_table_1.csv,20,6,0,0,14,/home/suchita/Desktop/Final Arranged Data/Federal/page_131_table_1_federal.csv | /home/suchita/Desktop/Final Arranged Data/Unknown/page_131_table_1_unknown.csv
