क्रस.,कार्यक्रम,सङ्ख्या,बानेबोजन,खर्च
१,ग्रामीण सडक खभ्जाल सुधार आधोजना,१०,७७०३७६,३४११६८
२,झोलुङ्गे पुल क्षेत्रगत कार्यक्रस,,१४०००,०
३,स्थानीय स्तरका क्षडकपुल तथा सामुदायिक पहुँच सुधार परियोजना,२५,१६७४००,३२८१३
४,खानेपानी सेवा विस्तार तथा पुनर्स्थापना कार्यक्रम,४१,२८४००,२६५४१
५,जलवायु अनुवुलित वृहत खानेपानी आयोजना,१४४,११९४००,११५०१५७
६,ढल निर्माण तथा प्रशोधन कार्यक्रम,,४००,१००
७,मर्मत सम्भार आधोजनाहरू (खानेपानी र सिँचाइ),१६,१०००००,७२८२५
८,जम्मा,२४१,११९९९७६,५८८५०४
