क्र. सं.,कारेबार,लेखापरीक्षण सम्पन्न रकम
१.,विनिवोजन खर्च,२२४९५०६७
२.,राजस्व,१०७५२४४३
३.,धरौटी,२१३०२०९
,अन्य कारोबार,१९४८९५८
,जम्मा,३७३२६६७७
