विवरण,रुरु बजेट,अन्तिम बजेट,वित्त हस्तान्तरण,निकासा प्रतिशत
समानीकरण अनुदान,९५००००,९५००००,९५००००,१००
संशर्त अनुदान,११३८३१६,१२०३२८४,९१४६२५,
विशेष अनुदान,१५००००,१५००००,१०८७११,७२
समपूरक अनुदान,९०३०००,९०३०००,६४३६४५२,७१
जम्मा,२१४१३१६,३२०६२८४,२६१६९८८,३
