खर्च शीर्षक,बजेट,,द्कनान्तर,अन्तिम
,सुरु,,,कायम
चालु,६२४७९३,५६८९७,१४९१७३,२३२५१७
पुँजीगत,८५१९९१०,१८७१३२,११६७६०,८९०२८२
जम्मा,१४४४७०३,२४४०२९,२६५९३३,१४२२७९९
