क्रस.,एरा,,२०८०।८१,२०८१।५२ को प्रगति
१,जालमूत्युदर (पाँच वर्ष मुनिका प्रति हजार जीवित जन्ममा),सङ्ख्या,४१,२९
२,१५ महिना भित्रका पूर्ण खोप प्राप्त बालबालिका,प्रतिशत,,%५
३,स्वास्थ्य बिमा भएको व्यक्ति,प्रतिशत,२३,१३
४,पाँच वर्ष मुनिका बालनालिकाहरूमा ख्वाउटेपन (उचाई अनुसारको तौल),वर्ष,१६,६्द
५,पीोषणभैत्री घोषणा गरिएको स्थानीय तह,प्रतिशत,रू,०
