शीर्षक,२०७९।८० को यथार्थ असुली,२०८०।८१ को यथार्थ असुली,२०८१।८२ लक्ष्य,को राजस्व यथार्थ असुली,असुली प्रतिशत
'कर राजस्व,११७५९४२३,११८२८१०४,१७१४७१६७,१३९८७०६८,
राजस्व,१४५४७३१,१८४८२०४,५६२९९१५,२३८३१२५,४२.३३
अनुदान,१३४४७३२२,१०६९२४५४५४,१४०१९३००,११००७७६५,७८.५२
विविध प्राप्ति,८३६५५३,३५३९२८,१७३६१८,२१०१८४,१२१.०६
आन्तरिक,,०,०,,०.००
कुल जम्मा,२७४९८०२९,२४७२२७९०,३६९७००००,२७५८०१४२,७४.६२
