विवरण,बनेट,कुल रकभान्तर,,सा,,सकभान्तर असार महिना
,सुरु,थप,घट,,थप,घट
चालु,१८६२७०८,२२५८४४,३७४२१६,१७१४३३६,११६२,२६१२
पुँजीगत,११६२०२४५,१८८४५८६,१८७२४२,११६३३६९,४४५०,०
जम्मा,३०२४७३३,४१४४३०,५६१४४५८,२८७७७०५,५६१२,२६१२
