~ सन,२०८०।८१ को अवस्था,२०८१।८०८२ को लक्ष्य,२०८१५।८६ को लक्ष्य
कुल ना्हस्थ्य उत्पादनको वृद्धिदर (औसत प्रतिशत),४.०५,६.१,७.१६
आन्तरिक राजस्वको वार्षिक वृद्धिदर (प्रतिशत),१५.१,१६.५,२५
निरपेक्ष भारेबीको दर (प्रतिशत),२४.३४५,२२.५,१५
