शीर्षक,सुरु अनुमान,अन्तिम बजेट,खर्च,सुरु भनुनानको खर्च प्रतिशत,अन्तिम बजेटको खर्च प्रतिशत
चालु,११२४२७८४,११०००८६८,७३६८८७४,६५.५४,६६.९८
पुँजीगत,२४४५८५९००,२४७६२८४८,१७९०११५२,७२.८३,७२.३१
वित्तीय हह्तान्तरण,३१४१३१६,३२०६२८४,२६१६९८८,८३.१७,८१.६८
जम्मा,३८९७००००,३८९७००००,२७८९१०१४,७१.५७,७१.५७
