शीर्षक,२०७९/० को यथार्थ सङ्घतन,050/53 को संशोधित अनुमान,२०६१/८२ को लक्ष्य,वर्तमान स्रोतबाट,'कर परिवर्तन तथा प्रशासनिक सुधारबाट
१४१५२-क्यासिनोबाट प्राप्त रोयल्टी,९७४१,१६२२८,१८६२१,१७३२३,१२९८
१४१५९-अन्यस्रोतबाट प्राप्त रोयल्टी,३५२७१,४६७४३,३४८३,४९६६९,३८१३
३३३६१-वन क्षेत्रको रोयल्टी,१३४७८,९६२६,१०१०४,९६८४,४२०
३३३६२-खानी तथा खनिज सम्बन्धी रोयल्टी,६२८०,द्वय,९६००,९२७९,३२१
३३३६४-विद्युत सम्बन्धी रोयल्टी,३१५५२,३३४८३,३५४१०,३३८७७,१५३३
३३३६५-पर्वतारोहण रोयल्टी,९४७१,१०८९०,११३४६,१०९६८,३७८
३३३९१-अन्य बाँडफाँट हुने राजस्व सङ्कलन,स्व,४६,६६,६०,&
अन्य शुल्क,५२६१,७६२५,८०६१,७७१०,२५१
१४१९१-पर्यटन शुल्क,१२०२,१२३६,१३६२,१२९४,६८
१४१९ २-पदयात्रा शुल्क,४१५८,५४९८,२५१८,२३५२,१६६
१४१९३-वैदेशिक पर्यटन शुक,०,५४०,७०३,६३३,७०
१४१९४-वैदेशिक रोजगार सेवा शुल्क,०,३५२,४७९,४३१,शव
वस्तु तथा सेवा विक्रीवाट प्राप्त रकम,३४९८व९,३९०११०,४३८५०९,४१०४३२,२८०७७
बस्तु तथा सेवा विक्रीवाट प्रापत रकम,९७१४६,RTYET,१०७९२१,१०१०२८,६८९२
१४२११-कृषि उत्पादनको विक्रीबाट प्राप्त रकम,१७७६,२५२५,३४ ठठ,३२७६,३११
१४२१२-सरकारी सम्पतीको विक्रीबाट प्रापत रकम,२१६८,४२४८,४३८७,४२५८,१२९
१४२१३-अन्य विक्रीबाट प्राप्त रकम,२६६८,३५३७,३८३४,२७०६,१२८
१४२१४-दूरसंचार सेवा शुल्क,७३८९७,६९४८७,७६५६८,७०८६३,२७०४
१४२१५-टेलिफोन स्वामित्वको शुल्क,१३६०४५,१८६३०,१९५०१,१ददद४,घ्पेट
१४२१७-नहर तथा कुलो उपयोग वापतको शुल्क,२५,स्व,२८,२७,१
१४२१८-विद्युत सेवा शुल्क,c,93,9%,१४,१
प्रशासनिक सेवा शुल्क,२२६१०२,२६५१९३,२९९७४०,२८०४२५,१९३१५
४२२२-हुलाक सेवा शुल्क,३१४४,३९९९,४४२३,४१५८,२६४५
१४२२३-शिक्षा क्षेत्रको आम्दानी,६४७०,६९१३,७९२१,७३४०,५८१
१४२२४-परीक्षाशुल्क,७९४९,१०२४८,११३५४,१०७११,६४३
४२२४५-यातायात क्षेत्रको आम्दानी,११४१,१२३६,१३२०,१२६१,२९
१४२२६-आयात निर्यात इजाजत पत्र दस्त्र,१४८२,२२८५,२४८०,२४२४,१६४
१४२२७-राहदानी,१०३४२४५,११४२१०,१२७५००,१२०१३१,७३७०
शुल्क ४२२८-भिसा,३५८५८,,,४५३०३,२३३४
शुल्क १४२२९-अन्य प्रशासनिक सेवा शुल्क,४९६२४,४४१०३ ६२०६५,४७६३७ ७४५५६,६७९२८,६६२८
अन्य प्रशासनिक दस्तुरहरु,१४९९१,१४२६०,१७६२०,१६२१२,१४०८
४२५१-कम्पनी रजिष्ट्रेशन,१२४२५,११४२६,१४२२९,१३०९२,११३७
दस्तुर,४१,६६,१८८,१६९,१९
१४२५२-एजेन्सी रजिष्ट्रेशन दस्तुर ४२५४-रेडियो/ एफ.एम.सञ्चालन दस्तुर,१७४,१६६,२१९,१९९,२०
१४२५४-टेलिभिजन सञ्चालन दस्तुर,१९४४,२२०३,२५३१,२३३०,२०१
१४२५७-हातहतियारको इजाजतपत्र,४०६,,४५२,४२१,29
दस्त्र,,३९८,,,
शुल्क १४२६२-विद्युत सम्बन्धी दस्तुर,११५०६,११८७१,१२८१६,१२३८९,४२७
१४२६३-जलस्रोत सम्बन्धी अन्य दस्तुर,o,2,2,३,o
१४२६४-वन क्षेत्रको अन्य आय,१४१,३०८,३९८,३६५,३३
१४२६५-अन्य क्षेत्रको आय,३,७,११,१०,१
"दण्ड, जरिवाना र जफत",३७७४१,४२३३७,४६०८६,४३६८९,२३९७
"दण्ड, जरिवाना र जफत",३७७४१,४२३३७,४६०८६,४३६८९,२३९७
"१४३११-न्यायिक दण्ड,जरिवाना र जफत",३६६९,४०९२,४७९७,४४१३,३८३
"१४३१२-प्रशासनिक दण्ड,जरिवाना र",,,३८६९९,,
जफत,३१५६९,३५६८६,,३६७७२,१९२७
