३११५८ सरसफाई संरचना निर्माण,"२,९०,०२","२,४४,४३",¥.23.55,"१,४९,६४","३,.१९","२,.८१,०४५",
३११४५९ अन्य सार्वजनिक निर्माण,"१७,९१,०६","२५,०९,३०","¥0,03,3¢","३६,.१९,२४",,"३,.१३,९६",
३११६० निमित संरचनाको सुधार खर्च,"७१,२४","७१,३४५","९१,२१","८७,१०","६९,ठव",४.११,
निर्मित भवनको संरचनात्मक,,,,,,,
सुधार खर्च,"७१,२४","5१,३४५","९१,२१","८७,१०",४.११,,
३११७० पुँजीगत सुधार खर्च,"२,.१२,५४","२,५२.६६","२,६४,७३","२,५८.१२",,"५,६५",
३११७१ पूँजीगत सुधार खर्च सार्वजनिक,,,,,,,
निर्माण,"३.१२,१४","२,५२,.६६","२,६४,७३","२,१८.१२",९६,"५,६५",
३१४०० प्राकृतिक सम्पत्ति,"२.२ ७,०४","८,.३७,९५","१५.,१९.६९","१५,०९.१४",४०,"१०,१४५",
३१४१० जग्गा प्राप्ति ३१४११ जग्गा प्राप्ति खर्च,"448,03 २,५६,०३","८,३६,७० ८,३६,७०","१४५,०६.१४ १४५,०६.१४","१५,०६,१४ १५,०६,१४",,,
