३१४४० अदृष्य सम्पत्ती प्राप्ती खर्च ३१४४१ करार लीज तथा लाइसेन्स,"१,०१","१,२४५","१३,५४५","३,००","४० १०,१५",,
'खरिद प्राप्ति खर्च,"१,०१","१,२४५","१३,५४५","३,००","४० १०,१४५",,
३१५०० भेपरी आउने पुँजीगत,,"२,९६,२९","६,३०,०९","६,३०,०९",०,,०
३१५१० भेपरी आउने पूँजीगत,,"२,९६,५९","६,३०,०९","६,३०,०९",,,
३१५११ भेपरी आउने पूँजीगत,,"२,९६.२५९","६,३०,०९","६,३०,०९",,,
वित्तीय व्यवस्था,"१,९५.१९,५४५","२,४७,२५२५,२४५","३,६७,२८,४४","३,.१४,३०,६४","२,१८,७१","४७,७९.१०",
३२००० वित्तीय सम्पत्ति,"४५,४८,२७४","६०,५३,.२२","६७,५२५,७९","१४,५७,६८","२,१८०,७१","४७,७९,१०",
३२१०० आन्तरिक वित्तीय सम्पत्ति,"४५,२६,९७","६०,२४,१७","६७,२०,७८","१४,२२,९४",49589,"४७,७९.१०",
३२१४० खुद त्रण लगानी,"3R,08,8%","४९,१४,८९","६,४८,६४","७,३०,८६","१,३८,६८","४७,७९,१०",
'लगानी,"3R,08,8%","४९,१४,८९","६,४८,६४","७,.३०,८६","१,३८,६८","४७,७९,१०",
३२१५० खुद शेयर लगानी,"१३,२०,३२","११,०९,२८","१०,७२,१४","६,९२,११","३,८०,०३",,o
३२१५१ संस्थानमा शेयर लगानी,"१३,२०,३२","११,०९,२८","१०,७२,१४","६,९२,११","३,८०,०३",,o
३२२०० बाहा वित्तीय सम्पत्ति,"२१,३०","२९,०४५",३५.०१,"३५,०१",,,o
३२२५० खुद वैदेशिक शेयर लगानी,"२१,३०","२९,०४५",३५.०१,"३५,०१",,,o
३२२५१ वैदेशिक शेयर लगानी,"२१,३०","२९,०४५","३५,.०१",३५.०१,,,०
३३००० दायित्व,"१,४९,७१,२८","१,८७,०२,०३","२,९९,७२,६६","२,९९,७२,६६",o,,०
३३१०० आन्तरिक दायित्व,"१,१५,०९,४८","१,११,५२,२६","२,४४५,७८,००","२,४५,७८,००",०,,०
३३१९० खूद आन्तरिक त्रण ३३१९५ A मार्फत प्राप्त AT,"१,१५,०९,४८","१,२१,५२,२६","२,४४५,७८,००","२,४४५,७८,००",o,,०
साँवा भुक्तानी,"१,१५,०९,४८","१,५१,५२,२६","२,४४५,७८,००","२,४४५,७८,००",,,
३३२०० बाहा वित्तीय दायित्व,"३४,६१,८०","३५,४९,७७","३,९४,.६६","२३,९४,.६६",,,
३३२४० खूद वैदेशिक त्रहण,"३४,६१,८०","३५,४९,७७","२३,९४,६६","२२,९४,६६",०,,o
३३२४२ वैदेशिक A सांवा भुक्तानी,"३४,६१,८०","३५,४९,७७","२३,९४,६६",EERS AN,o,,०
जम्मा खर्च,"१४,२१,३२,६६","१५,३०,३५.५६","१८.६०,३०,३०","१५,९०,३०,३०","२२,३२,६५","२,१७,६७,३५",
