,,,,
मबरण,२६५१,५२,७०५०,५
आम्दानी,,,,
सद्ल्यता शुल्क,"३,३९,४३",,,
अनुदान आय,"१,४०,१९",,"६३,५३",
स्थगत अनुदान आय,"श,४७",,७१,
कुल आम्दानी,,"४,८५,०९",,"६४,२४"
खर्च,,,,
कर्मचारी सुविधा खर्च,"६,०६",,८.६४५,
प्रशासनिक खर्च,"१,३४,१३",,"५५,१७",
हास खर्च,"५,४७",,७०,
कुल खर्च,,"१,४४५,६६",,"६४,२५२"
,,"३,३९,४३",,(२८)
