सम्पत्ति,३२ आषाढ,२०८२,३१ आषाढ,२०८१
दायित्व,,,,
व्यवस्था,२.५,,४.१२,
चालु कर दायित्व (खुद।,,,"३,८८४",
अन्य वित्तीय दायित्व,७,,"१,१२",
अन्य दायित्व,"२,४५२",,"१,८०",
कुल दायित्व,,"१३,११",,"१०,५५"
कुल सञ्चित कोष एवं दायित्व,,"१०,९७,३५",,"१०,०५,८४"
