प्रदेश,निकाला गरका सङ्घीय कार्यालय सङ्ख्या,e e,खर्च रकम
कोशी,६९,९४९००,७४०७२
मधेश,१,१२०२७७,११९८५३
बागमती,१०४,११५१९१७,८८३८५८
गण्डकी,४९,१५२०४१,१५२०४१
लुम्बिनी,९२,७५४८२६,६३३५३२
कर्णाली,१८,२७७५५८,२१४१७१
सुदूरपश्चिम ।,७,35933Y,२२६९२२
जम्मा],३४०,२९३२८५३,२३०४४४९
