,,,,,|,,,,जन्य |],,,,,यो वर्षको । बचत,वर्षान्तको मौज्दात
संस्थाको नाम,,,,,बिक्री र सेवा शुल्क,,,। जन्म,,सञ्चालन खर्च,e खर्च,अन्य खर्च |,जम्मा खर्च,|,
"जिल्ला अस्पताल, डोटी",,,,,३८२९८,,,| १२८८३२,।,०,नु,३६७४५|,१२६३२९],२५०३,८५६३
"जिल्ला अस्पताल, अछाम",,,,,२१०९३,,,१०७४०९,,४२५८६|,४३५८४,९६|,१०६२०१३| ।,१२००,३९१२]
"प्रदेश युवा परिषद, धनगढी",,,,,,,,११६११,,२००,०],। ०],११६११,०],2
प्रदेश खेलकद परिषद धनगढी,२०८१। ८२,१५९१०४,४०३९,३६० |,०],७९२०६,,७९४७५,,|,,,,,
"सेती अस्पताल, धनगढी",,,,६६६१९,१८८३७०,,,१००७०४०,,३०३५६४,१०४६३४|,४१४६७९ |,९४२४६१,5४५७९|,१३११९८
प्रदेशतर्फको कुल जम्मा,,,,२००८२५१,२५२७२४५३०,,,२०२२२५६४,,७७०४७१८|,२७९१६९८|,२१९४१५२|,२००७०१३६|,१५२४२८।,२१६०६७९
संघ र प्रदेशतर्फको कुल जम्मा,,,,४३१२८८३४,२९२५९७५८ |,४३२४३४०६|,२३२६८३४०,९५७७६७८५,,२४४४७१७५|,९६४९०९५,| २३८७६८५१,| ८६७२८४३६ |,९०४८३४९ |,५२१७८१२९ |
