॥ सं,लेखापरीक्षण |,GG,,,,,,&5 1,,,,,,लेखापरीक्षण सम्पन्न रकम
मन्त्रालय/निकायको नाम,,गर्नुपर्ने,लेखापरीक्षण,सम्पन्न,L लेखापरीक्षण,गर्नुपर्ने,लेखापरीक्षण,सम्पन्न रकम |,| लेखापरीक्षण,| लेखापरीक्षण,गर्नुपर्ने |,लेखापरीक्षण,सम्पन्न,
,,रकम,[एकाइ],रकम,एकाइ,रकम,एकाइ,,,,,[,रकम |,
चालु वर्ष (२०८१। ८२),,,,,,,,,,,,,,
१ [राष्ट्रपतिको कार्यालय,| 4],१४१९१२,,,,,,,,,,,I,०]
२ | उपराष्ट्रपतिको कार्यालय,| ],४९४२७,,४९४२७,|,०],,,,,,|,],४९५१८
३ | संघीय संसद सचिवालय,[1],१३८२२२३,,१३८२२२३,,२०८४,,२०८४,,,,|,o,१३८९५१६७
४ [सर्वोच्च अदालत,,७३०६७८५,,६८९०८३०,,२५४६६४५१,,२३५९६१२,,,,,४४६९५,२४५१४९४२४
"५ प्रदेश प्रमुखको कार्यालय, कोशी",,२७४५१,,२७४५१,,,,,,,,।,०],२७५४६
"६ प्रदेश प्रमुखको कार्यालय, मधेश",,१८८३७,,१८८३७,,,,,,,,।,०],१९००६
"७ | प्रदेश प्रमुखको कार्यालय, बागमती",,३६३०३,,३६३०३,,,,,,,,|,०] [,३६५६५
"८ | प्रदेश प्रमखको कार्यालय, गण्डकी",,३०३०४,।,०],,,,,,,,।,०],०]
"९ | प्रदेश प्रमखको कार्यालय, लम्बिनी",,२५४१२,,२५४१२,,,,,,,,।,०],२५४४८
"| १० प्रदेश प्रमुखको कार्यालय, कर्णाली",,२६३५१,,२६३५१,,,,,,,,|,],२६४२०
"|[११| १| प्रदेश प्रमखको कार्यालय, सद्रपश्चिम",,२५२१८,,२५२१८,,,,,,,,|,०],२५३२६
93 | अख्तियार दुरुपयोग अनुसन्धान आयोग,,१२३१३०४,,१२३१३०४,,१२८४५,,१२८४५,,,,,e,१२९५५९२
१३ | महालेखापरीक्षकको कार्यालय,,६४६९७०,,६४६९७०,,१०७४,,१०७५,,,,।,०],६५४३६७
१४|लोक सेवा आयोग,,९५१२७२,,९३६४८७,,२४५६०५,,२४५४०८,,,,,५६६६०,१२४११७९
१४५] निर्वाचन आयोग,,५८८२५१,,५८८२५१,,३५३६,,३५३६,,,,,३४०,६८०१५४५
१६] महान्यायाधिवक्ताको कार्यालय,,११४७५९६,,१००८१९६,,४५३,,४५३,,,,,१००२२,१०३८४१४
१७ | न्याय परिषद्‌,,५२१४१,,१२१४१,,३५,,३३५,,,,।,०],५२६८६
१८ |राष्ट्रिय मानव अधिकार आयोग,,२५४६७८,,२५४६७८,,२५,,५२७,,,,,६६७२,२६२११०
१९ | राष्ट्रिय प्राकतिक स्रोत तथा वित्त आयोग,,७३८५०,,७३८५०,,४७,,,,,,[,o,७४१४७
२० [राष्ट्रिय महिला आयोग,,८८०४,,८८०४,|,],,,,,,|,०,42360
29 [राष्ट्रिय दलित आयोग,,३६३२४,,,,,,,,,,,¥,३६३२८
२२ समावेशी,,,,३५३७,,,,,,,,,],३५३७४
[राष्ट्रिय आयोग,,३५३७४,,,,,,,,,,| |,,
२३ | आदिवासी जनजाति आयोग,,३७७९९ ४०९८९,१,,,,,,,,,,०,३७८६८ ४०९८९
२४ | मधेशी आयोग,,,१,४०९८९,,,,,,,,।,०],
२४५ | थारु आयोग,,३८७८१,१,३८७८१,०] ।,०] |,०],०,,,,|,०],३८७८१
¢ | मस्लिम आयोग,,२८८४८,1,zeevs|,| ०,००],[,०],,,७,,७,२८९०४५
२७ | प्रधानमन्त्री तथा मन्त्रीपरिषद्को कार्यालय,,३११४०८३|,११४,२७०६६४४|,२७,१०७२१६|]|,२४,८२२३०,,,,,२०४६२,७५१४६२६
