क्र. सं.,मन्त्रालय / निकायको नाम,प्रारम्भिक बेरुजु,,,सम्परीक्षणबाट फस्यौट,,बाँकी बेरुजु,,बेरुजु नियमित गर्नुपर्ने,,,,,,
,,दफा संख्या,,|,दफा संख्या,,,,गर्नुपर्ने । i,अनियमित,प्रमाणका कागजात पेश,जिम्मेवारी |,| सोधभर्ना | नलिएको | नलिएको,ना |,I
,,सैद्धान्तिक | लगती,,,सैद्धान्तिक,लगती,,,,,नभएको,नसारेको सारेको,,,
[१,उपराष्ट्रपतिको कार्यालय,२,०,०,| ४०],०],,,[४],०,०,०,०,०,०]
२,|संघीय संसद सचिवालय,१८,3,१४८९ ।,०],१,,।,०],११३९ ।,०] ।,|,०],११३९ |,०]
३,[सर्वोच्च अदालत,४२९|,२९१,wivey|,०,४३,,,२९६७,९८९६,३२७१४|,०] o],०],४२६१०,२७५८
४,"प्रदेश प्रमुखको कार्यालय, कोशी",३,४०,०,०,०],,,[,० [,०,० [|,०,०,०]
५,"प्रदेश प्रमुखको कार्यालय, मधेश",¥ |,०] ।,०] ।,०],[०],,[,०] ०],[०],०],[०],०] |,०] [,०]
६,"प्रदेश प्रमुखको कार्यालय, बागमती",s,०,न्‌,१],०,,,[ ०,०,०,०,०,न,०]
७,"प्रदेश प्रमुखको कार्यालय, लुम्बिनी",३,०,०,०,०],,,[ ०,०,०,०,०,न,०]
८,"|प्रदेश प्रमखको कार्यालय, कर्णाली",x|,०,न्‌,०],०],,,[ ०,०,०,०,०,न,०]
९,"प्रदेश प्रमुखको कार्यालय, सुदूरपश्चिम",3,‘,_ ।,०] |,०],,[,[,०] [,०] ।,०] |,०] ।-.,०],०]
[१० ०,| | अख्तियार दुरुपयोग अनुसन्धान आयोग,२३,०] ।,०],१] |,०],,|,०] ०] |,०],[०] ।,०] |,०] ।,[ ०] |,०]
[११ १,| |महालेखापरीक्षकको कार्यालय,| १३ |,०] ।,। ०] |,०],[०],,,[०],[०],[०] ।,०],[०] ।,०],[०]
93,[लोक सेवा आयोग,३६,१,१५ |,०],[०],,,१५,[०],[०] ।,०],[०] |,०],[०]
१३,|निर्वाचन आयोग,८७,१३,१६६,०],[०],,,४७,१५,१०४,०],[०],११९,[_ ०]
१४,|महान्यायाधिवक्ताको कार्यालय,२०६,४६,। ७६१६],१|,¥,,,७१,६९४५,[ २३७ ।,०],०],३०७३,१६
१५,न्याय परिषद्‌,Y,‘,_,‘,n,,,-,_,-,०] |,०] |. |,०] |,०]
१६,राष्ट्रिय मानव अधिकार आयोग,२६,9,११ |,१] |,०],,|,११] १ |,०],०] |,०] |,०],०] |,०]
१७,राष्ट्रिय प्राकृतिक स्रोत तथा वित्त आयोग,१४,०,०,०],,,,[ o],| ०,०,०,०,०,०]
१८,[राष्ट्रिय महिला आयोग,१०,१,४६७,०],,,,[ ०,०,०,०,०,०,०]
१९,राष्ट्रिय दलित आयोग,&,9,१००० |,०],,,[,१०००,[०],।,०],[०],१०००,[०]
२०,राष्ट्रिय समावेशी आयोग,६,४,०,०],,,,०] [ ०,०,०,o],०,०,०]
२१,|आदिवासी जनजाति आयोग,%,२,२४ ।,०],,,,२७ [,०] [,०],०] [,०] |,०] [,०]
२२,|मघेशी आयोग,६ |,०],०] |,०],,,,,,[।,०] |,०] |,,०]
,,,|,,,,,|,०] |,०],[०] |,,,०] |,
