,,एकाइ,| नेपाल,| कोशी,मधेश |,बागमती,गण्डकी,| लुम्बिनी |,कर्णाली |,सुदूरपश्चिम
१.,,सङ्ख्या,७७|,१४,ठ,१३,११,१२,१०,९
२,,सङ्ख्या,[१६५,२८,३२,३३,१८,२६,१२,१६
३,प्रादेशिक निर्वाचन क्षेत्र,सङ्ख्या,| ३३०,५६],६४,६६,३६,%R,२४,३२
४.,गाउँपालिका,सङ्ख्या,| ४६०],"८८,",५९,७४,शर्ट,७३,२४,%Y
५.,नगरपालिका,सङ्ख्या,| २७६,४६|,७३,४१,२६,३२,२५,33
&,उपमहानगरपालिका नगरपालिका,सङ्ख्या,११,R,2,१,| ०],¥ । |,०,१
७,महानगरपालिका,सङ्ख्या,&,१,1,3,१,| ०],7 |,०]
