१,सर्वोच्च अदालत,,,२४२२,,,,,,२४२२,१४,१०८३,,०,,१०८३,१३२५
२,प्रधानमन्त्री तथा मन्त्रीपरिषद्को कार्यालय,२५,डे,७०७५,०,०,०,२५,३,७०७५,२६३५,१४४०,०,०,०,१४४०,०
३,अर्थ,२३,१,४६१५१७,०,०,,२३,१,४६१५१७,०,०,४६१५१७,०,०,४६१५१७,०
४,"उद्चोग, वाणिज्य तथा आपूर्ति",६१,श्ट,७२७७०,०,२,२०,६१,रद,७२७५०,४३३२,२१४१०,४५ ८८३,०,०,६७२९३,११२५
५,"उर्जा, जलस्रोत तथा सिँचाइ",३,३२,४०२९३५,०,११,३े२४६८,३,२१,४७०४६७,श्व्६्ट,७२०८,१४९८,०,०,६२१९६,४०२४०३
६,"कानून, न्याय तथा संसदीय मामिला",३,०,०,०,०,०,३,०,०,०,०,०,०,०,०,०
७,कृषि तथा पशुपन्छी विकास,४५२,१६२,११०९३९,०,२२,१३०५,४६२,१४०,१०९६३४,दद,११४५५,१११७६,०,,२२६३१,८५१५
८,खानेपानी,२्ड,२६,२८३७२१९,,४,३८५१,२्डठ,२२,२८३३३६८,२७०९८८३,२८९५२,७७३५५,०,१६६५७,१२२९६४,१२१
९,गृह,यश,३,३२१४३७,३,३,३१९२०७,४२,०,२२३०,०,२२३०,०,०,०,२२३०,०
१०,परराष्ट्र,१३,७,४७४९,१,१,२७६,१२,,४४७३,६४०,र४४४,१३८९,०,,इेङ३३,०
११,भौतिक पूर्वाधार तथा यातायात,,५,१६९०१,०,०,०,इ४,छ,१६९०१,१०२६४,६६२५,१२,०,०,६६३७,०
१२,"महिला, बालबालिका तथा ज्येष्ठ नागरिक",६०,२५,४१४१०,०,०,०,६०,२५,४१४१०,११७३९,२३६७१,६०००,०,०,२९६७१,७
१३,युवा तथा खेलकुद,१५९,१४४,२४९६५६,०,१४५,५७५,१५९,१२९,२४९०६१,९४१,७९३८,२३७४४२,०,०,२४५३८०,२७६०
१४,रक्षा,१२०,७५,२३३१०१,२,२,२२,११८,७३,२३३०७९,१४३१६,२४,२१०९५३,०,०,२११००७,७७५६
१५,बन तथा वातावरण,१२४,२०,१७७७०,२,५,११७१,१२२,१५,१६५९९,२११७,११८२४५,२६५७,०,०,१४४८२,०
१६,"शिक्षा, विज्ञान तथा प्रविधि",६६५६,४०५,२१४६६२,८,८७,१८३९६९,६५८,२३१८,१३०६९३,४१३७,७२८१५,२१०८१७,०,०,१२३६३२,२९२४
१७,"श्रम, रोजगार तथा सामाजिक सुरक्षा",८५,६०,१४५३१६,०,९,१६०४५०,५,१२१,३८४८६६,६४७५,३१५०१५,१०२७५,०,०,३६५२९०,१३१०१
१८,"संस्कृति, पर्यटन तथा नागरिक उड्डयन",२५०,३००,१४६३७४,१,३६,१०८४,२४९,२६४,९५२९०,२२७३६,५०१२,१८९९४,०,०,६७००६,१४५४८
१९,सङ्घीय मामिला तथा सामान्य प्रशासन,८],१०,६०५२,०,२,१०४३,८],५,५००९,६९,०,३५८०,०,०,३५८०,१३६४
२०,सञ्चार तथा सूचना प्रविधि,१२२,३६२,२६४४९९,२,२८,४६०८,१२०,३३४,२५९८९१,१७१४७८,९२९२,१०३३१,,०,१९६२३,६८७९०
२१,शहरी विकास,१४१,१७,र२७६७४,०,४,१०४,१४१,१३,र२७५७०,३१३,र२१२८,२५१२९,०,०,२७२५७,०
२२,स्वास्थ्य तथा जनसङ्ख्या,९५९,११०७,१७०५९०४५,५,३५,२४०४०४,९५४,१०७२,१४६५५०१,३,६५४४०८,१५१०९२,०,०,१२०५५००,१७६६४३
