नबरण,,बर,,१७
शुल्क तथा कमिशन आम्दानी,"१,७८,८९,४४",,"१,१९,६९,०४",
ब्याज आम्दानी,"३४,५९,४१",,"४४,६०,०३",
अन्य सञ्चालन आम्दानी,"९,२७,२०",,३३९३,
जम्मा आम्दानी,,"२,२२,७६,०४५",,"२,०७,६४,८०"
