विवरण,कोशी,मधेश,'बागमती,गण्डकी,लुम्बिनी,कर्णाली,सुदूरपश्चिम,| जम्मा ।
वित्तीय समानीकरण,८२०६३००|,७१५६५४८,७५६४१४४,७००९३६३,७६5०३६०१,९५१२११७,८००३९४९,५२५०५६०२२
सशर्त,३८७९७००]|,२०२६४२१],२८०२१६४५|],२३८४००७],३४४३१२२],१९२२३२२],१६७०२६१],१८१४७४७८
समपूरक,६५५०००,न,६४१२५०],११३०५००],७९५०००,४७७६६०|,८३९२३९|,४५३८६४९
विशेष,६६७४००],०],९४१७३१५],१५०९९५०|],७४४६००]|,४०९८२१,१९६८४८,३५५०३४५४
[ जम्मा],१३४०८४००,९१८२९६९|,११९६८७७४|,११११३८२०|,१२५८६३२३|,१२३२१९२०|,१०७१०२९८|,व१२९२५०४
राजस्व बाँडफाँट |,१११३५३१८|,१०८२२३६१।,११५५८६६१|,८९३०५७१],१०९२१९६५|,८४०१९२७],१००६२१२१|,७१८३२९२४
कुल जम्मा],२४५४३७१८|,२०००५३३०|,२३५२७४३४५|,२००४४३९१|,२३४०८२८८|,२०७२३८४७|,२०७७२४१९],१५३१२४५४२८
