,,२०८१।८२,
,प्रक्षेपण,अन्तिम बजेट,
चालु खर्च,२५२१५३२,२९९०९४२,४६९४१०
पुँजीगत खर्च,३६५२९८१,२८७२८५४३,९२४४३८
जम्मा,६१७४५१३,४५७१९४८४५,४५५०२८
