खरी शीर्षक,रुरुबबेट,अन्तिम बजेट,खर्च,खर्च प्रतिशत
चालु खर्च,,,,
२११०० पारिश्रमिक सुविधा,५४४५१३८,५४७४४७,४४५००६,व१.२९
२१२०० कर्मचारीको सामाजिक सुरक्षा,३३३७,३३३७,१९१५,१७.३९
